ID_клиента,Возраст,Пол,Город,Банк,Тип_клиента,Канал_обслуживания,Кредитный_рейтинг,Срок_обслуживания_лет,Баланс,Количество_продуктов,Есть_кредитная_карта,Активный_клиент,Примерная_зарплата,Количество_жалоб,Обращения_в_поддержку,Использование_приложения_в_месяц,Сумма_кредитов,Просрочки_по_кредитам,Средняя_оценка_сервиса,Отток
1,47,Мужчина,Алматы,Kaspi Bank,Обычный,Колл-центр,730,7,241033.46,1,0,0,126731.18,0,0,5,829173.9,0,3.4,0
2,40,Мужчина,Астана,ForteBank,Обычный,Колл-центр,633,1,56690.03,2,1,0,179261.18,3,4,21,1517691.02,0,4.5,1
3,49,Мужчина,Павлодар,Kaspi Bank,Обычный,Мобильное приложение,704,9,197211.99,3,1,1,124328.99,1,5,12,572952.9,0,3.1,0
4,60,Мужчина,Караганда,Halyk Bank,Новый,Колл-центр,822,4,148998.76,2,1,0,153643.29,1,0,15,264625.01,0,2.7,0
5,39,Женщина,Алматы,ForteBank,Обычный,Интернет-банк,665,9,185669.39,2,1,0,129630.93,0,3,15,621836.29,1,5.0,0
6,39,Мужчина,Астана,Kaspi Bank,Обычный,Отделение,614,0,104999.86,2,1,0,176574.82,0,0,13,1119987.92,0,2.9,0
7,60,Мужчина,Астана,Halyk Bank,Обычный,Колл-центр,788,2,112826.05,1,1,1,164803.27,0,2,7,554771.21,1,4.2,0
8,51,Женщина,Астана,Jusan Bank,Обычный,Колл-центр,710,0,156997.67,2,1,0,50000.0,0,1,19,1720115.05,0,2.7,0
9,36,Мужчина,Астана,Kaspi Bank,Новый,Отделение,609,1,130792.44,2,1,1,70066.45,0,5,5,1239944.92,0,3.6,1
10,48,Женщина,Алматы,Halyk Bank,Обычный,Колл-центр,806,3,88427.72,3,1,0,201942.02,2,5,9,548385.69,0,3.7,0
11,36,Женщина,Шымкент,Bereke Bank,Обычный,Колл-центр,541,5,30975.68,3,0,1,175311.9,2,2,20,1203483.74,0,4.1,0
12,36,Мужчина,Караганда,Halyk Bank,Обычный,Интернет-банк,697,0,217887.28,3,0,1,79520.82,4,1,1,810154.0,0,2.4,0
13,44,Женщина,Актобе,ForteBank,Новый,Интернет-банк,753,8,6157.72,4,0,0,272415.86,0,1,18,557492.23,0,4.7,0
14,19,Женщина,Алматы,Jusan Bank,Обычный,Отделение,746,0,145047.01,1,0,0,78099.62,1,2,20,925332.35,1,4.7,0
15,21,Мужчина,Актобе,Kaspi Bank,Обычный,Мобильное приложение,569,7,126283.39,2,1,1,216896.98,1,3,0,934239.85,0,2.8,0
16,35,Мужчина,Алматы,Kaspi Bank,Премиальный,Мобильное приложение,538,0,0.0,2,1,1,50000.0,1,2,9,996751.31,1,4.0,0
17,29,Женщина,Астана,Jusan Bank,Обычный,Интернет-банк,670,0,134134.73,2,0,1,183011.8,3,3,1,126601.21,0,4.1,1
18,45,Женщина,Актобе,Jusan Bank,Новый,Мобильное приложение,713,7,120054.09,1,0,1,259394.44,1,0,3,570509.4,0,4.4,0
